"ProjectId","Completed","Title","Project Lead","Institution","Submitted Time","Keywords","Results"
"414","","Creating a Highly Configurable, Scalable Cloud Test Bed Using Nimbus and Phantom","Patricia Teller","The University of Texas at El Paso, Computer Science","02/28/2014 - 09:58","","See Link"
"412","","Short Course on Algorithmic Differentiation","Jean Utke","Argonne National Laboratory, MCS","02/24/2014 - 09:58","","See Link"
"413","","Running SWAT model on the cloud","Lan Zhao","Purdue University, ITaP Research Computing","02/24/2014 - 12:45","","See Link"
"411","","ILS-Z604 Big Data Analytics for Web and Text - SP14 Group #2","Trevor Edelblute","Indiana University, Department of Information & Library Science, School of Informatics & Computing","02/08/2014 - 14:54","","See Link"
"410","","Scaling up computational biology applications","Saurabh Bagchi","Purdue University, ECE and CS","02/03/2014 - 11:37","",""
"409","","Apache Storm and Samza","Supun Kamburugamuva","Indiana University, Computer Science Department","01/24/2014 - 15:20","",""
"408","","Use of ILP for cancer driver prioritization","Ermin Hodzic","Indiana University, Computer Science Department","01/23/2014 - 13:51","",""
"406","","Experimental Testbed for MOOC Support","Abhilash Koppula","Indiana University, Community Grids Lab","01/13/2014 - 12:57","",""
"407","","Evaluating ScaleMP virtual shared memory architecture for use in HPC","Andrew Younge","Indiana University, Community Grids Laboratory","01/20/2014 - 09:49","",""
"405","","Spring 2014 CSCI-B649 Cloud Computing MOOC for residential and online students","Judy Qiu","Indiana University, School of Informatics and Computing","12/27/2013 - 11:47","",""
"404","","Enhancing Usage of cloud Infrastructure","Rahul Limbole","Veermata Jijabai Technological Institute Mumbai, Computer Science Department","12/21/2013 - 01:36","",""
"403","","The evolution of microbial symbionts and their biosynthetic pathways through shotgun metagenomics","Jason Kwan","University of Wisconsin-Madison, Division of Pharmaceutical Sciences, School of Pharmacy","12/19/2013 - 10:28","",""
"402","","Investigation on Network Performance in Virtual Machine Based Cloud Environments","Feng Wang","The University of Mississippi, Computer and Information Science","12/18/2013 - 15:14","",""
"400","","Use Hadoop to find popular words of open source Java codes","Lin Liu","university of nebraska-lincoln, Computer science and engineering","12/10/2013 - 21:53","",""
"401","","Evaluation of HPC Applications on Cloud Resources","Brock Palen","U of Michigan / Xsede, CAEN HPC","12/11/2013 - 20:42","",""
"398","","Ensuring Data Security and Accountability for Data Sharing in the Cloud","Sandip Bhagat","Veermata Jijabai Technological University, Mumbai India. , Veermata Jijabai Technological University, Mumbai India. Computer Engineering Department.","12/05/2013 - 15:35","",""
"399","","Information extraction from biomedical literature using text mining approaches","Rui Du","University of Wisconsin Milwaukee, Department of Engineering and computer science","12/07/2013 - 03:57","",""
"397","","Laboratory for Cosmological Data Mining","Robert Brunner","University of Illinois, Astronomy & NCSA","11/22/2013 - 11:03","",""
"396","","Course: EEL-5934 Principle of Computer Systems Design Fall-13 Class Projects","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","11/14/2013 - 09:26","",""
"395","","Stor Trusted P2P Storage System","Subrat Sharma","University of Colorado, Computer Science Department","11/13/2013 - 06:43","",""
"393","","SLURM testbed","Troy Baer","University of Tennessee, National Institute for Computational Sciences","11/05/2013 - 15:50","",""
"394","","Hydroinformatics on the Cloud","Kate Keahey","University of Chicago, Computation Institute","11/06/2013 - 13:22","",""
"392","","Using Clouds to Scale GIS Applications","Kate Keahey","University of Chicago, Computation Institute","11/01/2013 - 14:36","",""
"391","","Course: Topics in Parallel Computation","Heru  Suhartanto","Universitas Indonesia, Faculty of Computer Science","10/30/2013 - 05:04","","See Link"
"389","","Investigating the Apache Big Data Stack","ibrahim hallac","Firat University, Computer Science Department","10/28/2013 - 16:03","",""
"384","","Graph/network analysis Resource manager","Tirtha Bhattacharjee","Virginia Bioinformatics Institute, Virginia Polytechnic Institute and State University, Network Dynamics and Simulation Science Laboratory","10/23/2013 - 16:19","",""
"382","","Reliability Analysis using Hadoop and MapReduce","Carl Walasek","University of the Sciences , Mathematics, Physics, and Statistics Department","10/15/2013 - 16:45","","See Link"
"383","","SenseHealth: A Platform to Enable Personalized Healthcare through Context-aware Sensing and Predictive Modeling Using Sensor Streams and Electronic Medical Record Data","Sameer Tilak","UCSD, Calit2, UCSD","10/17/2013 - 18:10","",""
"381","","Authentication of Mobile Cloud Computing","Shane Green","Colorado Technical University, Computer Science and Engineering","10/02/2013 - 10:00","",""
